vendor_id,vendor_name,part_type,brand
MIG-001,CREAM PUFF FOREST BROWN CORAL,STANDARD POLIS,Brand#32
MIG-002,LACE SPRING CHOCOLATE LAVENDER GOLDENROD,PROMO BURNISH,Brand#13
MIG-003,SADDLE YELLOW BLUE THISTLE BLUSH,LARGE BRUSHED,Brand#13
MIG-004,CORNSILK PURPLE YELLOW GREEN SPRING,STANDARD POLI,Brand#42
MIG-005,PINK GREEN SMOKE CHOCOLATE CORNFLOWER,SMALL PLATED,Brand#34
MIG-006,MAGENTA FOREST LAWN CORNFLOWER BISQUE,PROMO PLATED,Brand#24
MIG-007,FLORAL KHAKI THISTLE GREEN MOCCASIN,SMALL PLATED,Brand#11
MIG-008,ROYAL SNOW THISTLE LACE MISTY,PROMO BURNISH,Brand#44
MIG-009,GAINSBORO DARK NAVAJO DIM THISTLE,SMALL BURNISH,Brand#43
MIG-010,POWDER PUFF SADDLE PINK LINEN,LARGE BURNISH,Brand#54
MIG-011,CREAM ORCHID BLUE PAPAYA HONEYDEW,ECONOMY ANODI,Brand#25
MIG-012,STEEL DEEP CORNSILK SPRING FIREBRICK,MEDIUM BRUSHE,Brand#53
MIG-013,WHEAT PALE TURQUOISE SIENNA,PROMO ANODIZE,Brand#35
MIG-014,IVORY CORAL SPRING SANDY MIDNIGHT,SMALL BURNISH,Brand#21
MIG-015,VIOLET SLATE LEMON FROSTED PEACH,ECONOMY PLATED,Brand#33
